제목,장르,줄거리있음
리미트리스,"스릴러, 미스터리, SF",X
뻐꾸기 둥지 위로 날아간 새,드라마,X
판의 미로: 오필리아와 세개의 열쇠,"판타지, 드라마, 전쟁",O
신비한 동물들과 그린델왈드의 범죄,"판타지, 모험",O
소울,"애니메이션, 가족, 드라마, 음악, 판타지",X
유주얼 서스펙트,"드라마, 범죄, 스릴러",X
슬럼독 밀리어네어,"드라마, 로맨스",X
몬스터 대학교,"애니메이션, 가족, 코미디, 판타지",O
쥬만지,"모험, 판타지, 가족",X
마스크,"코미디, 판타지, 범죄, 로맨스",X
분노의 질주: 더 세븐,"액션, 범죄, 스릴러",O
행오버 2,코미디,O
블랙 위도우,"액션, 모험, SF",X
엑스맨 탄생: 울버린,"모험, 액션, SF",O
007 스펙터,"액션, 모험, 스릴러",X
미스터 & 미세스 스미스,"액션, 코미디, 드라마, 스릴러",X
월플라워,드라마,O
분노의 질주: 더 맥시멈,"액션, 스릴러, 범죄",X
베놈 2: 렛 데어 비 카니지,"SF, 액션, 모험",X
바비,"코미디, 모험, 판타지",X
테넷,"액션, 스릴러, SF",O
콩: 스컬 아일랜드,"액션, 모험, 판타지",O
킹스맨: 골든 서클,"액션, 모험, 코미디, 범죄, SF",O
브레이브하트,"액션, 드라마, 역사, 전쟁",O
하울의 움직이는 성,"판타지, 애니메이션, 모험",X
사랑에 대한 모든 것,"드라마, 로맨스",X
뷰티풀 마인드,"드라마, 로맨스",O
미니언즈,"가족, 애니메이션, 모험, 코미디",X
인디아나 존스: 최후의 성전,"모험, 액션",O
트로이,"전쟁, 액션, 역사",X
탑건: 매버릭,"액션, 드라마",X
500일의 썸머,"코미디, 드라마, 로맨스",O
메이즈 러너: 스코치 트라이얼,"SF, 액션, 스릴러, 모험",O
21 점프 스트리트,"액션, 코미디, 범죄",X
레퀴엠,"범죄, 드라마",O
싸이코,"공포, 스릴러, 미스터리",X
맨 인 블랙 3,"액션, 코미디, SF",O
박물관이 살아있다!,"판타지, 가족, 코미디",O
셜록 홈즈: 그림자 게임,"액션, 모험, 미스터리, 범죄",O
루퍼,"액션, 스릴러, SF",X
쓰리 빌보드,"범죄, 드라마",O
엑스맨  2,"모험, 액션, SF",X
에이리언 2,"액션, 스릴러, SF",X
스타워즈 에피소드 9: 라이즈 오브 스카이워커,"모험, 액션, SF",O
잭 스나이더의 저스티스 리그,"액션, 모험, 판타지",O
분노의 질주,"액션, 범죄, 스릴러",X
매트릭스 3: 레볼루션,"모험, 액션, 스릴러, SF",O
슈퍼 마리오 브라더스,"가족, 코미디, 모험, 판타지, 애니메이션",O
버즈 오브 프레이: 할리 퀸의 황홀한 해방,"액션, 범죄",O
분노의 질주: 더 익스트림,"액션, 범죄, 스릴러",O
