제목,연도,장르,평점,출연,줄거리있음
센과 치히로의 행방불명,2001,"애니메이션, 가족, 판타지",8.534,"히이라기 루미, 이리노 미유, 나츠키 마리, 나이토 타카시, 사와구치 야스코",X
토르: 다크 월드,2013,"액션, 모험, 판타지",6.5,"크리스 헴스워스, 나탈리 포트만, 톰 히들스턴, 크리스토퍼 에클스턴, 안소니 홉킨스",X
23 아이덴티티,2017,"공포, 스릴러",7.3,"제임스 맥어보이, 안야 테일러조이, 헤일리 루 리처드슨, 제시카 술라, 베티 버클리",X
주토피아,2016,"애니메이션, 모험, 가족, 코미디",7.765,"지니퍼 굿윈, 제이슨 베이트먼, 이드리스 엘바, 제니 슬레이트, 네이트 토런스",O
라라랜드,2016,"코미디, 드라마, 로맨스",7.897,"라이언 고슬링, 엠마 스톤, 존 레전드, 로즈메리 디윗, 핀 위트록",O
메이즈 러너,2014,"액션, 미스터리, SF, 스릴러",7.19,"딜런 오브라이언, 카야 스코델라리오, 토머스 브로디생스터, 이기홍, 윌 폴터",O
행오버,2009,코미디,7.3,"브래들리 쿠퍼, 에드 헬름스, 잭 갤리퍼내키스, Justin Bartha, 헤더 그레이엄",O
이미테이션 게임,2014,"역사, 드라마, 스릴러, 전쟁",7.983,"베네딕트 컴버배치, 키이라 나이틀리, 매튜 구드, 로리 키니어, 앨런 리치",O
양들의 침묵,1991,"범죄, 스릴러, 드라마",8.345,"조디 포스터, 안소니 홉킨스, 스콧 글렌, 테드 러바인, 앤서니 힐드",X
쥬라기 공원,1993,"모험, SF",7.971,"샘 닐, 로라 던, 제프 골드블룸, 리처드 애튼버러, Bob Peck",O
킹스맨: 시크릿 에이전트,2015,"범죄, 코미디, 액션, 모험",7.62,"태런 에저턴, 콜린 퍼스, 사무엘 L. 잭슨, 마크 스트롱, 소피 쿡슨",O
보헤미안 랩소디,2018,"음악, 드라마",7.957,"라미 말렉, Gwilym Lee, 벤 하디, 조셉 마젤로, 루시 보인턴",X
프레스티지,2006,"드라마, 미스터리, SF",8.209,"휴 잭맨, 크리스찬 베일, 마이클 케인, 파이퍼 페라보, 레베카 홀",O
덩케르크,2017,"전쟁, 액션, 드라마",7.5,"핀 화이트헤드, 톰 하디, 마크 라이런스, 케네스 브래너, 킬리언 머피",X
겨울왕국,2013,"애니메이션, 가족, 모험, 판타지",7.249,"이디나 멘젤, 크리스틴 벨, 조나단 그로프, 조시 게드, Livvy Stubenrauch",X
쉰들러 리스트,1993,"드라마, 역사, 전쟁",8.57,"리암 니슨, 벤 킹슬리, 랄프 파인즈, 캐럴라인 구돌, 조나단 사갈",O
라이언 일병 구하기,1998,"전쟁, 드라마, 역사",8.229,"톰 행크스, 톰 시즈모어, 에드워드 번즈, 배리 페퍼, 아담 골드버그",O
스파이더맨: 뉴 유니버스,2018,"애니메이션, 액션, 모험, SF",8.392,"셔믹 무어, 제이크 존슨, 헤일리 스타인펠드, 마허샬라 알리, 브라이언 타이리 헨리",O
베놈,2018,"SF, 액션",6.826,"톰 하디, 미셸 윌리엄스, 리즈 아메드, Scott Haze, 리드 스콧",X
캐리비안의 해적: 망자의 함,2006,"모험, 판타지, 액션",7.385,"조니 뎁, 올랜도 블룸, 키이라 나이틀리, 잭 대븐포트, 빌 나이",O
캐치 미 이프 유 캔,2002,"드라마, 범죄",7.978,"레오나르도 디카프리오, 톰 행크스, 크리스토퍼 워컨, 마틴 쉰, 나탈리 베이",O
루시,2014,"액션, SF",6.474,"스칼렛 요한슨, 모건 프리먼, 최민식, 암르 와케드, Julian Rhind-Tutt",X
스파이더맨: 파 프롬 홈,2019,"액션, 모험, SF",7.395,"톰 홀랜드, 제이크 질렌할, 사무엘 L. 잭슨, 마리사 토메이, 존 파브로",O
레디 플레이어 원,2018,"모험, 액션, SF",7.589,"타이 셰리던, 올리비아 쿡, 벤 멘델슨, 레나 웨이드, T.J. 밀러",O
스타워즈 에피소드 6: 제다이의 귀환,1983,"모험, 액션, SF",7.909,"마크 해밀, 해리슨 포드, 캐리 피셔, 빌리 디 윌리엄스, 안소니 다니엘스",O
나는 전설이다,2007,"드라마, SF, 스릴러",7.218,"윌 스미스, 앨리스 브라가, 찰리 타핸, Dash Mihok, Salli Richardson-Whitfield",X
베이비 드라이버,2017,"액션, 범죄",7.444,"안셀 엘고트, 케빈 스페이시, 릴리 제임스, 존 햄, 제이미 폭스",X
나우 유 씨 미: 마술사기단,2013,"스릴러, 범죄",7.3,"제시 아이젠버그, 우디 해럴슨, 아일라 피셔, 데이브 프랭코, 마크 러팔로",X
캡틴 마블,2019,"액션, 모험, SF",6.78,"브리 라슨, 사무엘 L. 잭슨, 벤 멘델슨, 주드 로, 아네트 베닝",X
헝거게임: 모킹제이,2014,"SF, 모험, 스릴러",6.817,"제니퍼 로렌스, 조쉬 허처슨, 리암 헴스워스, 우디 해럴슨, 엘리자베스 뱅크스",O
위플래쉬,2014,"드라마, 음악, 스릴러",8.4,"마일스 텔러, J.K. 시몬스, 폴 라이저, 멜리사 베노이스트, 오스틴 스토얼",X
월드워 Z,2013,"액션, 공포, SF",6.842,"브래드 피트, Mireille Enos, דניאלה קרטס‎, 제임스 뱃지 데일, Ludi Boeken",O
빅 히어로,2014,"모험, 가족, 애니메이션, 액션, 코미디",7.726,"스콧 애드싯, Ryan Potter, 다니엘 헤니, T.J. 밀러, 제이미 정",X
로그 원: 스타워즈 스토리,2016,"액션, 모험, SF",7.509,"펠리시티 존스, 디에고 루나, 앨런 튜딕, 견자단, 강문",O
에이리언,1979,"공포, SF",8.171,"톰 스커릿, 시고니 위버, Veronica Cartwright, 해리 딘 스탠턴, 존 허트",X
스파이더맨 2,2004,"액션, 모험, SF",7.314,"토비 맥과이어, 커스틴 던스트, 제임스 프랭코, 알프레드 몰리나, 로즈메리 해리스",O
이터널 선샤인,2004,"SF, 드라마, 로맨스",8.091,"짐 캐리, 케이트 윈슬렛, 커스틴 던스트, 마크 러팔로, 일라이저 우드",O
스타워즈 에피소드 8: 라스트 제다이,2017,"모험, 액션, SF",6.749,"마크 해밀, 캐리 피셔, 애덤 드라이버, 데이지 리들리, 존 보예가",X
그래비티,2013,"SF, 스릴러, 드라마",7.17,"산드라 블록, 조지 클루니, 에드 해리스, 오르토 이그나티우센, 팔두트 샤르마",X
메멘토,2000,"미스터리, 스릴러",8.2,"가이 피어스, 캐리 앤 모스, 조 판톨리아노, 마크 분 주니어, 러스 페가",X
엑스맨: 데이즈 오브 퓨처 패스트,2014,"액션, 모험, SF",7.5,"휴 잭맨, 제임스 맥어보이, 마이클 패스벤더, 패트릭 스튜어트, 이안 맥켈런",O
맨 오브 스틸,2013,"액션, 모험, SF",6.652,"헨리 카빌, 에이미 아담스, 마이클 섀넌, 다이앤 레인, 러셀 크로우",X
디파티드,2006,"드라마, 스릴러, 범죄",8.2,"레오나르도 디카프리오, 맷 데이먼, 잭 니콜슨, 마크 월버그, 마틴 쉰",O
레옹,1994,"범죄, 드라마, 액션",8.294,"장 르노, 나탈리 포트만, 게리 올드만, 데니 에일로, 피터 에펠",O
그랜드 부다페스트 호텔,2014,"코미디, 드라마",8.027,"랄프 파인즈, F. 머레이 에이브러햄, 마티유 아말릭, 에이드리언 브로디, 윌렘 대포",O
찰리와 초콜릿 공장,2005,"모험, 코미디, 가족, 판타지",7.039,"조니 뎁, 프레디 하이모어, 데이비드 켈리, 헬레나 본햄 카터, 노아 테일러",O
007 스카이폴,2012,"액션, 모험, 스릴러",7.263,"다니엘 크레이그, 주디 덴치, 하비에르 바르뎀, 랄프 파인즈, 나오미 해리스",O
슈퍼배드,2010,"애니메이션, 코미디, 범죄, SF, 가족",7.259,"스티브 카렐, 제이슨 시걸, 러셀 브랜드, 줄리 앤드류스, 윌 아넷",X
미녀와 야수,2017,"가족, 판타지, 로맨스",7.0,"엠마 왓슨, 댄 스티븐스, 루크 에반스, 케빈 클라인, 엠마 톰슨",O
스타워즈 에피소드 1: 보이지 않는 위험,1999,"모험, 액션, SF",6.58,"리암 니슨, 이완 맥그리거, 나탈리 포트만, 제이크 로이드, 이언 맥더미드",X
토이 스토리 3,2010,"애니메이션, 가족, 코미디",7.812,"톰 행크스, 팀 앨런, 조앤 쿠삭, 돈 리클리스, 월리스 숀",X
브이 포 벤데타,2006,"액션, 스릴러, SF",7.902,"나탈리 포트만, 휴고 위빙, 스티븐 레이, 스티븐 프라이, 존 허트",O
블랙 스완,2010,"드라마, 스릴러, 공포",7.7,"나탈리 포트만, 밀라 쿠니스, 뱅상 카셀, 바바라 허쉬, 위노나 라이더",X
캐리비안의 해적: 세상의 끝에서,2007,"모험, 판타지, 액션",7.275,"조니 뎁, 제프리 러쉬, 올랜도 블룸, 키이라 나이틀리, 잭 대븐포트",O
저수지의 개들,1992,"범죄, 스릴러",8.1,"하비 카이텔, 팀 로스, 마이클 매드슨, 크리스 펜, 스티브 부세미",O
호빗: 다섯 군대 전투,2014,"액션, 모험, 판타지",7.338,"이안 맥켈런, 마틴 프리먼, 리차드 아미티지, 올랜도 블룸, 에반젤린 릴리",O
콰이어트 플레이스,2018,"공포, 드라마, SF",7.395,"에밀리 블런트, 존 크래신스키, 밀리센트 시먼즈, 노아 주프, Cade Woodward",O
그녀,2013,"로맨스, SF, 드라마",7.838,"호아킨 피닉스, 스칼렛 요한슨, Lynn Adrianna, Lisa Renee Pitts, Gabe Gomez",X
헤이트풀8,2015,"드라마, 미스터리, 서부",7.757,"사무엘 L. 잭슨, 커트 러셀, 제니퍼 제이슨 리, 월튼 고긴스, 데미안 비치르",O
스파이더맨 3,2007,"액션, 모험, SF",6.463,"토비 맥과이어, 커스틴 던스트, 제임스 프랭코, 토마스 헤이든 처치, 토퍼 그레이스",O
블레이드 러너 2049,2017,"SF, 드라마",7.596,"라이언 고슬링, 해리슨 포드, 아나 데 아르마스, 데이브 바티스타, 로빈 라이트",O
카,2006,"애니메이션, 모험, 코미디, 가족",7.0,"오웬 윌슨, 폴 뉴먼, 보니 헌트, Larry the Cable Guy, Cheech Marin",X
엣지 오브 투모로우,2014,"액션, SF",7.64,"톰 크루즈, 에밀리 블런트, 브렌던 글리슨, 빌 팩스턴, Jonas Armstrong",X
킬 빌: 2부,2004,"액션, 범죄, 스릴러",7.9,"우마 서먼, 데이비드 캐러딘, 대릴 해나, 마이클 매드슨, 유가휘",O
블레이드 러너,1982,"SF, 드라마, 스릴러",7.936,"해리슨 포드, 루트거 하우어, 숀 영, 에드워드 제임스 올모스, M. 에멧 월시",O
토이 스토리 2,1999,"애니메이션, 코미디, 가족",7.6,"톰 행크스, 팀 앨런, 조앤 쿠삭, 켈시 그래머, 돈 리클리스",O
듄,2021,"SF, 모험",7.781,"티모시 샬라메, 레베카 퍼거슨, 오스카 아이작, 제이슨 모모아, 스텔란 스카스가드",X
스타워즈 에피소드 3: 시스의 복수,2005,"모험, 액션, SF",7.471,"헤이든 크리스텐슨, 이완 맥그리거, 나탈리 포트만, 이언 맥더미드, 사무엘 L. 잭슨",O
캐리비안의 해적: 낯선 조류,2011,"모험, 액션, 판타지",6.57,"조니 뎁, 페넬로페 크루스, 제프리 러쉬, 이언 맥셰인, Kevin McNally",O
아쿠아맨,2018,"액션, 모험, 판타지",6.868,"제이슨 모모아, 엠버 허드, 윌렘 대포, 패트릭 윌슨, 니콜 키드먼",X
핵소 고지,2016,"드라마, 역사, 전쟁",8.191,"앤드류 가필드, 샘 워싱턴, 빈스 본, 테레사 파머, 루크 브레이시",O
원스 어폰 어 타임 인… 할리우드,2019,"코미디, 드라마, 스릴러",7.421,"레오나르도 디카프리오, 브래드 피트, 마고 로비, 에밀 허쉬, 마가렛 퀄리",O
맨 인 블랙,1997,"액션, 모험, 코미디, SF",7.224,"토미 리 존스, 윌 스미스, Linda Fiorentino, 빈센트 도노프리오, Rip Torn",X
이상한 나라의 앨리스,2010,"가족, 판타지, 모험",6.643,"미아 바시코프스카, 조니 뎁, 앤 해서웨이, 헬레나 본햄 카터, 크리스핀 글로버",X
셜록 홈즈,2009,"액션, 모험, 범죄, 미스터리",7.221,"로버트 다우니 주니어, 주드 로, 레이첼 맥아담스, 마크 스트롱, 에디 마산",X
300,2007,"액션, 모험, 전쟁",7.2,"제라드 버틀러, 레나 헤디, 도미닉 웨스트, 데이비드 웬햄, 빈센트 레건",X
터미네이터,1984,"액션, 스릴러, SF",7.685,"아놀드 슈왈제네거, 마이클 빈, 린다 해밀턴, Paul Winfield, 랜스 헨릭슨",O
쥬만지: 새로운 세계,2017,"모험, 코미디, 판타지, 액션",6.82,"드웨인 존슨, 케빈 하트, 잭 블랙, 카렌 길런, 리스 다비",O
